Incident_ID,Date,Location,Department,Object_Type,Severity,Incident_Count,Shift,Inspection_Type,Weather_Condition
31,2023-01-02 06:00:00,Hangar,Production,Plastic,Medium,2,Evening,Routine,Clear
32,2023-01-02 07:00:00,Assembly Line,Maintenance,Glass,Low,2,Evening,Routine,Dusty
33,2023-01-02 08:00:00,Assembly Line,Maintenance,Plastic,Low,6,Morning,Audit,Dusty
34,2023-01-02 09:00:00,Runway,Maintenance,Metal Scrap,Low,2,Morning,Routine,Rainy
35,2023-01-02 10:00:00,Hangar,Maintenance,Rubber,Medium,1,Evening,Routine,Dusty
36,2023-01-02 11:00:00,Warehouse,Quality,Plastic,Medium,4,Night,Random,Clear
37,2023-01-02 12:00:00,Hangar,Quality,Tools,Low,1,Morning,Random,Dusty
38,2023-01-02 13:00:00,Warehouse,Logistics,Tools,Low,3,Night,Routine,Clear
39,2023-01-02 14:00:00,Runway,Logistics,Metal Scrap,Low,5,Morning,Routine,Dusty
40,2023-01-02 15:00:00,Taxiway,Maintenance,Tools,Low,4,Night,Routine,Clear
41,2023-01-02 16:00:00,Assembly Line,Maintenance,Tools,Low,2,Evening,Routine,Clear
42,2023-01-02 17:00:00,Runway,Production,Rubber,Low,3,Evening,Random,Clear
43,2023-01-02 18:00:00,Assembly Line,Production,Metal Scrap,Low,2,Evening,Random,Clear
44,2023-01-02 19:00:00,Taxiway,Production,Tools,Medium,2,Morning,Routine,Humid
45,2023-01-02 20:00:00,Taxiway,Maintenance,Rubber,Low,4,Morning,Routine,Humid
46,2023-01-02 21:00:00,Runway,Production,Metal Scrap,Medium,3,Evening,Routine,Clear
47,2023-01-02 22:00:00,Taxiway,Logistics,Metal Scrap,Low,1,Morning,Audit,Clear
48,2023-01-02 23:00:00,Warehouse,Maintenance,Metal Scrap,Medium,1,Night,Routine,Dusty
49,2023-01-03 00:00:00,Taxiway,Quality,Tools,Low,5,Evening,Routine,Humid
50,2023-01-03 01:00:00,Assembly Line,Maintenance,Metal Scrap,Medium,5,Morning,Random,Dusty
51,2023-01-03 02:00:00,Assembly Line,Quality,Glass,Medium,2,Evening,Routine,Clear
52,2023-01-03 03:00:00,Assembly Line,Quality,Plastic,Low,5,Evening,Random,Dusty
53,2023-01-03 04:00:00,Assembly Line,Maintenance,Tools,Medium,2,Evening,Random,Clear
54,2023-01-03 05:00:00,Warehouse,Production,Rubber,Low,5,Morning,Routine,Clear
55,2023-01-03 06:00:00,Hangar,Logistics,Metal Scrap,Medium,1,Evening,Random,Dusty
56,2023-01-03 07:00:00,Runway,Maintenance,Tools,Low,4,Evening,Routine,Dusty
57,2023-01-03 08:00:00,Assembly Line,Production,Tools,Low,2,Evening,Routine,Dusty
58,2023-01-03 09:00:00,Taxiway,Quality,Metal Scrap,Low,2,Morning,Routine,Clear
59,2023-01-03 10:00:00,Assembly Line,Quality,Rubber,Low,3,Morning,Random,Dusty
60,2023-01-03 11:00:00,Taxiway,Quality,Plastic,Low,3,Evening,Routine,Humid
61,2023-01-03 12:00:00,Taxiway,Quality,Rubber,Low,1,Night,Random,Rainy
62,2023-01-03 13:00:00,Assembly Line,Maintenance,Glass,Low,1,Morning,Routine,Dusty
63,2023-01-03 14:00:00,Warehouse,Logistics,Tools,Medium,4,Evening,Routine,Clear
64,2023-01-03 15:00:00,Taxiway,Quality,Rubber,Low,1,Morning,Routine,Humid
65,2023-01-03 16:00:00,Taxiway,Production,Tools,Medium,2,Evening,Random,Clear
66,2023-01-03 17:00:00,Assembly Line,Production,Glass,Low,2,Morning,Routine,Rainy
67,2023-01-03 18:00:00,Taxiway,Logistics,Metal Scrap,Low,2,Morning,Random,Humid
68,2023-01-03 19:00:00,Taxiway,Logistics,Metal Scrap,Low,8,Morning,Random,Clear
69,2023-01-03 20:00:00,Assembly Line,Logistics,Metal Scrap,High,4,Night,Random,Clear
70,2023-01-03 21:00:00,Assembly Line,Quality,Metal Scrap,Medium,7,Morning,Routine,Humid
71,2023-01-03 22:00:00,Runway,Maintenance,Tools,Low,1,Evening,Routine,Dusty
72,2023-01-03 23:00:00,Warehouse,Quality,Metal Scrap,Low,3,Evening,Routine,Clear
73,2023-01-04 00:00:00,Warehouse,Quality,Metal Scrap,Low,4,Morning,Random,Dusty
74,2023-01-04 01:00:00,Taxiway,Production,Metal Scrap,High,7,Night,Routine,Clear
75,2023-01-04 02:00:00,Warehouse,Maintenance,Tools,Low,8,Evening,Random,Humid
76,2023-01-04 03:00:00,Taxiway,Maintenance,Metal Scrap,Low,3,Morning,Routine,Clear
77,2023-01-04 04:00:00,Runway,Production,Tools,Low,2,Morning,Routine,Clear
78,2023-01-04 05:00:00,Assembly Line,Production,Metal Scrap,Low,4,Evening,Routine,Clear
79,2023-01-04 06:00:00,Assembly Line,Production,Tools,Low,2,Morning,Random,Clear
80,2023-01-04 07:00:00,Assembly Line,Logistics,Metal Scrap,Medium,1,Night,Audit,Dusty
81,2023-01-04 08:00:00,Warehouse,Maintenance,Metal Scrap,Low,3,Evening,Routine,Clear
82,2023-01-04 09:00:00,Runway,Production,Metal Scrap,Low,4,Morning,Routine,Humid
83,2023-01-04 10:00:00,Warehouse,Production,Rubber,Medium,2,Evening,Random,Dusty
84,2023-01-04 11:00:00,Warehouse,Production,Plastic,High,8,Night,Random,Clear
85,2023-01-04 12:00:00,Runway,Quality,Glass,High,1,Evening,Random,Rainy
86,2023-01-04 13:00:00,Runway,Maintenance,Tools,Low,1,Evening,Routine,Dusty
87,2023-01-04 14:00:00,Runway,Maintenance,Metal Scrap,Medium,4,Night,Routine,Clear
88,2023-01-04 15:00:00,Runway,Logistics,Glass,High,1,Morning,Random,Humid
89,2023-01-04 16:00:00,Assembly Line,Quality,Tools,Medium,2,Evening,Random,Clear
90,2023-01-04 17:00:00,Hangar,Maintenance,Metal Scrap,Low,2,Morning,Routine,Clear
91,2023-01-04 18:00:00,Hangar,Logistics,Rubber,Low,1,Evening,Random,Clear
92,2023-01-04 19:00:00,Runway,Logistics,Metal Scrap,Low,2,Morning,Routine,Dusty
93,2023-01-04 20:00:00,Hangar,Production,Plastic,Medium,3,Evening,Routine,Dusty
94,2023-01-04 21:00:00,Hangar,Logistics,Metal Scrap,Low,2,Morning,Audit,Humid
95,2023-01-04 22:00:00,Runway,Logistics,Metal Scrap,Low,8,Morning,Routine,Humid
96,2023-01-04 23:00:00,Hangar,Quality,Tools,Low,1,Evening,Routine,Rainy
97,2023-01-05 00:00:00,Warehouse,Production,Metal Scrap,Low,4,Night,Routine,Dusty
98,2023-01-05 01:00:00,Taxiway,Production,Rubber,Low,5,Night,Audit,Dusty
99,2023-01-05 02:00:00,Taxiway,Production,Plastic,Medium,1,Night,Routine,Humid
100,2023-01-05 03:00:00,Runway,Logistics,Metal Scrap,Low,1,Morning,Routine,Clear
101,2023-01-05 04:00:00,Assembly Line,Production,Tools,High,1,Morning,Routine,Humid
102,2023-01-05 05:00:00,Runway,Maintenance,Plastic,Low,1,Morning,Random,Clear
103,2023-01-05 06:00:00,Assembly Line,Quality,Plastic,High,6,Morning,Routine,Humid
104,2023-01-05 07:00:00,Taxiway,Quality,Tools,Low,1,Evening,Audit,Rainy
105,2023-01-05 08:00:00,Runway,Logistics,Rubber,Medium,2,Morning,Routine,Dusty
106,2023-01-05 09:00:00,Warehouse,Production,Rubber,Medium,8,Night,Routine,Clear
107,2023-01-05 10:00:00,Hangar,Quality,Metal Scrap,Low,2,Morning,Random,Humid
108,2023-01-05 11:00:00,Assembly Line,Logistics,Rubber,Medium,1,Evening,Random,Clear
109,2023-01-05 12:00:00,Hangar,Logistics,Plastic,Medium,6,Evening,Random,Dusty
110,2023-01-05 13:00:00,Hangar,Quality,Rubber,Medium,2,Morning,Routine,Clear
111,2023-01-05 14:00:00,Runway,Production,Tools,Low,4,Evening,Routine,Humid
112,2023-01-05 15:00:00,Hangar,Production,Plastic,Low,2,Morning,Routine,Clear
113,2023-01-05 16:00:00,Warehouse,Maintenance,Metal Scrap,Low,2,Evening,Routine,Humid
114,2023-01-05 17:00:00,Hangar,Maintenance,Plastic,Low,5,Evening,Routine,Rainy
115,2023-01-05 18:00:00,Runway,Production,Tools,Low,6,Morning,Random,Clear
116,2023-01-05 19:00:00,Warehouse,Maintenance,Tools,High,1,Morning,Audit,Clear
117,2023-01-05 20:00:00,Taxiway,Maintenance,Plastic,Low,3,Evening,Routine,Humid
118,2023-01-05 21:00:00,Hangar,Quality,Tools,Medium,7,Night,Audit,Rainy
119,2023-01-05 22:00:00,Runway,Production,Plastic,Low,6,Morning,Routine,Clear
120,2023-01-05 23:00:00,Taxiway,Quality,Rubber,Medium,6,Evening,Random,Clear
121,2023-01-06 00:00:00,Taxiway,Quality,Rubber,Low,6,Evening,Routine,Clear
122,2023-01-06 01:00:00,Assembly Line,Logistics,Metal Scrap,Medium,7,Night,Audit,Clear
123,2023-01-06 02:00:00,Warehouse,Production,Glass,Low,5,Morning,Routine,Dusty
124,2023-01-06 03:00:00,Hangar,Quality,Plastic,High,3,Morning,Random,Clear
125,2023-01-06 04:00:00,Runway,Maintenance,Metal Scrap,Low,6,Night,Random,Clear
126,2023-01-06 05:00:00,Assembly Line,Logistics,Metal Scrap,Low,2,Morning,Routine,Dusty
127,2023-01-06 06:00:00,Warehouse,Maintenance,Glass,Low,1,Evening,Audit,Rainy
128,2023-01-06 07:00:00,Assembly Line,Logistics,Tools,Low,2,Evening,Routine,Humid
129,2023-01-06 08:00:00,Warehouse,Maintenance,Metal Scrap,Low,1,Morning,Routine,Clear
130,2023-01-06 09:00:00,Warehouse,Maintenance,Tools,Low,1,Night,Routine,Dusty
131,2023-01-06 10:00:00,Hangar,Maintenance,Tools,Low,3,Morning,Audit,Clear
132,2023-01-06 11:00:00,Warehouse,Quality,Glass,Medium,1,Evening,Routine,Rainy
133,2023-01-06 12:00:00,Assembly Line,Production,Tools,Low,1,Morning,Random,Dusty
134,2023-01-06 13:00:00,Warehouse,Logistics,Tools,Medium,2,Night,Random,Dusty
135,2023-01-06 14:00:00,Hangar,Quality,Plastic,Low,1,Morning,Random,Clear
136,2023-01-06 15:00:00,Hangar,Logistics,Tools,Medium,3,Morning,Random,Dusty
137,2023-01-06 16:00:00,Assembly Line,Quality,Metal Scrap,Low,1,Evening,Audit,Clear
138,2023-01-06 17:00:00,Taxiway,Logistics,Plastic,Low,2,Night,Random,Clear
139,2023-01-06 18:00:00,Taxiway,Logistics,Rubber,Low,3,Night,Routine,Clear
140,2023-01-06 19:00:00,Warehouse,Maintenance,Metal Scrap,Medium,1,Morning,Audit,Dusty
141,2023-01-06 20:00:00,Runway,Logistics,Rubber,High,1,Evening,Routine,Clear
142,2023-01-06 21:00:00,Warehouse,Logistics,Tools,Medium,6,Night,Random,Dusty
143,2023-01-06 22:00:00,Assembly Line,Maintenance,Metal Scrap,Medium,5,Evening,Audit,Clear
144,2023-01-06 23:00:00,Assembly Line,Quality,Metal Scrap,Medium,1,Evening,Random,Dusty
145,2023-01-07 00:00:00,Assembly Line,Quality,Metal Scrap,High,5,Evening,Audit,Humid
146,2023-01-07 01:00:00,Assembly Line,Production,Metal Scrap,Medium,6,Morning,Audit,Clear
147,2023-01-07 02:00:00,Assembly Line,Production,Metal Scrap,Medium,1,Morning,Audit,Clear
148,2023-01-07 03:00:00,Hangar,Production,Metal Scrap,Low,4,Morning,Routine,Humid
149,2023-01-07 04:00:00,Taxiway,Production,Plastic,Low,2,Night,Random,Dusty
150,2023-01-07 05:00:00,Assembly Line,Logistics,Plastic,Low,4,Night,Routine,Clear
151,2023-01-07 06:00:00,Runway,Logistics,Plastic,Low,4,Evening,Audit,Dusty
152,2023-01-07 07:00:00,Runway,Production,Metal Scrap,Low,2,Night,Routine,Humid
153,2023-01-07 08:00:00,Runway,Maintenance,Metal Scrap,Low,1,Night,Routine,Humid
154,2023-01-07 09:00:00,Runway,Production,Tools,Low,3,Morning,Audit,Clear
155,2023-01-07 10:00:00,Hangar,Quality,Metal Scrap,Low,3,Morning,Routine,Clear
156,2023-01-07 11:00:00,Runway,Logistics,Plastic,Low,2,Morning,Routine,Rainy
157,2023-01-07 12:00:00,Assembly Line,Maintenance,Tools,Low,3,Morning,Routine,Dusty
158,2023-01-07 13:00:00,Warehouse,Quality,Rubber,Low,3,Evening,Audit,Dusty
159,2023-01-07 14:00:00,Runway,Maintenance,Metal Scrap,High,2,Evening,Routine,Clear
160,2023-01-07 15:00:00,Hangar,Maintenance,Tools,Low,4,Morning,Audit,Rainy
161,2023-01-07 16:00:00,Hangar,Production,Tools,Low,4,Evening,Audit,Clear
162,2023-01-07 17:00:00,Runway,Quality,Metal Scrap,Medium,3,Night,Routine,Humid
163,2023-01-07 18:00:00,Warehouse,Production,Tools,Low,2,Evening,Random,Humid
164,2023-01-07 19:00:00,Runway,Quality,Metal Scrap,Low,3,Evening,Audit,Humid
165,2023-01-07 20:00:00,Hangar,Logistics,Plastic,Medium,3,Morning,Random,Humid
166,2023-01-07 21:00:00,Taxiway,Quality,Metal Scrap,Low,1,Morning,Routine,Dusty
167,2023-01-07 22:00:00,Assembly Line,Logistics,Rubber,Medium,1,Morning,Audit,Clear
168,2023-01-07 23:00:00,Hangar,Logistics,Metal Scrap,Medium,1,Evening,Audit,Clear
169,2023-01-08 00:00:00,Runway,Production,Tools,Medium,2,Morning,Routine,Clear
170,2023-01-08 01:00:00,Assembly Line,Logistics,Metal Scrap,Medium,5,Night,Routine,Humid
171,2023-01-08 02:00:00,Runway,Production,Metal Scrap,Low,1,Evening,Audit,Dusty
172,2023-01-08 03:00:00,Runway,Maintenance,Plastic,Low,3,Morning,Routine,Clear
173,2023-01-08 04:00:00,Taxiway,Maintenance,Plastic,Medium,1,Evening,Random,Clear
174,2023-01-08 05:00:00,Assembly Line,Maintenance,Plastic,High,2,Evening,Routine,Rainy
175,2023-01-08 06:00:00,Assembly Line,Quality,Tools,Low,2,Night,Routine,Humid
176,2023-01-08 07:00:00,Taxiway,Logistics,Glass,Low,4,Night,Random,Humid
177,2023-01-08 08:00:00,Hangar,Production,Metal Scrap,Low,6,Night,Routine,Rainy
178,2023-01-08 09:00:00,Runway,Maintenance,Metal Scrap,Low,3,Morning,Audit,Dusty
179,2023-01-08 10:00:00,Warehouse,Production,Glass,Low,6,Morning,Audit,Rainy
180,2023-01-08 11:00:00,Runway,Maintenance,Glass,Medium,2,Morning,Random,Clear
181,2023-01-08 12:00:00,Runway,Logistics,Tools,Low,4,Morning,Routine,Dusty
182,2023-01-08 13:00:00,Hangar,Maintenance,Metal Scrap,Medium,3,Night,Routine,Clear
183,2023-01-08 14:00:00,Runway,Production,Metal Scrap,Low,4,Evening,Routine,Clear
184,2023-01-08 15:00:00,Taxiway,Maintenance,Tools,High,3,Evening,Audit,Dusty
185,2023-01-08 16:00:00,Taxiway,Production,Plastic,Low,2,Evening,Routine,Rainy
186,2023-01-08 17:00:00,Assembly Line,Maintenance,Metal Scrap,Low,2,Evening,Random,Humid
187,2023-01-08 18:00:00,Warehouse,Production,Plastic,Low,7,Morning,Routine,Dusty
188,2023-01-08 19:00:00,Runway,Maintenance,Metal Scrap,Low,3,Morning,Random,Humid
189,2023-01-08 20:00:00,Runway,Logistics,Rubber,Low,3,Evening,Audit,Dusty
190,2023-01-08 21:00:00,Hangar,Maintenance,Tools,Low,1,Evening,Random,Clear
191,2023-01-08 22:00:00,Taxiway,Quality,Glass,Medium,3,Morning,Random,Clear
192,2023-01-08 23:00:00,Warehouse,Production,Plastic,Low,1,Evening,Random,Humid
193,2023-01-09 00:00:00,Assembly Line,Maintenance,Tools,Low,4,Morning,Random,Clear
194,2023-01-09 01:00:00,Taxiway,Quality,Metal Scrap,Low,4,Morning,Audit,Rainy
195,2023-01-09 02:00:00,Assembly Line,Production,Tools,Low,4,Morning,Random,Clear
196,2023-01-09 03:00:00,Hangar,Maintenance,Metal Scrap,Medium,1,Morning,Random,Humid
197,2023-01-09 04:00:00,Hangar,Maintenance,Rubber,Low,3,Night,Audit,Clear
198,2023-01-09 05:00:00,Runway,Logistics,Metal Scrap,Low,1,Evening,Routine,Clear
199,2023-01-09 06:00:00,Warehouse,Maintenance,Rubber,Low,1,Morning,Random,Clear
200,2023-01-09 07:00:00,Assembly Line,Production,Metal Scrap,Low,5,Morning,Random,Dusty
201,2023-01-09 08:00:00,Taxiway,Quality,Metal Scrap,Medium,5,Morning,Routine,Humid
202,2023-01-09 09:00:00,Hangar,Maintenance,Metal Scrap,Low,5,Night,Audit,Clear
203,2023-01-09 10:00:00,Runway,Quality,Plastic,Medium,1,Morning,Random,Humid
204,2023-01-09 11:00:00,Runway,Production,Tools,Low,1,Morning,Routine,Clear
205,2023-01-09 12:00:00,Assembly Line,Production,Metal Scrap,Medium,4,Night,Routine,Rainy
206,2023-01-09 13:00:00,Hangar,Maintenance,Metal Scrap,Low,6,Evening,Random,Clear
207,2023-01-09 14:00:00,Warehouse,Logistics,Tools,Medium,1,Night,Routine,Clear
208,2023-01-09 15:00:00,Hangar,Maintenance,Metal Scrap,High,4,Morning,Routine,Rainy
209,2023-01-09 16:00:00,Assembly Line,Logistics,Rubber,Medium,3,Evening,Routine,Humid
210,2023-01-09 17:00:00,Assembly Line,Maintenance,Tools,Medium,2,Morning,Routine,Clear
211,2023-01-09 18:00:00,Hangar,Quality,Metal Scrap,Low,4,Night,Routine,Clear
212,2023-01-09 19:00:00,Assembly Line,Logistics,Metal Scrap,High,5,Night,Audit,Clear
213,2023-01-09 20:00:00,Hangar,Logistics,Metal Scrap,Low,4,Evening,Routine,Clear
214,2023-01-09 21:00:00,Taxiway,Quality,Plastic,Low,3,Morning,Routine,Rainy
215,2023-01-09 22:00:00,Hangar,Maintenance,Rubber,Low,1,Morning,Routine,Humid
216,2023-01-09 23:00:00,Hangar,Production,Plastic,Low,1,Night,Audit,Clear
217,2023-01-10 00:00:00,Assembly Line,Production,Plastic,Low,2,Morning,Routine,Clear
218,2023-01-10 01:00:00,Assembly Line,Maintenance,Metal Scrap,Medium,2,Evening,Routine,Dusty
219,2023-01-10 02:00:00,Runway,Quality,Glass,Low,2,Morning,Routine,Clear
220,2023-01-10 03:00:00,Runway,Production,Metal Scrap,High,2,Morning,Random,Humid
221,2023-01-10 04:00:00,Taxiway,Quality,Rubber,Low,2,Evening,Random,Humid
222,2023-01-10 05:00:00,Runway,Maintenance,Metal Scrap,Low,8,Morning,Routine,Clear
223,2023-01-10 06:00:00,Hangar,Quality,Metal Scrap,Medium,2,Evening,Random,Clear
224,2023-01-10 07:00:00,Assembly Line,Quality,Tools,Low,2,Evening,Routine,Clear
225,2023-01-10 08:00:00,Runway,Quality,Metal Scrap,Medium,2,Night,Routine,Dusty
226,2023-01-10 09:00:00,Runway,Production,Tools,High,4,Night,Random,Dusty
227,2023-01-10 10:00:00,Taxiway,Quality,Tools,Low,5,Morning,Random,Rainy
228,2023-01-10 11:00:00,Taxiway,Logistics,Plastic,Medium,2,Morning,Random,Clear
229,2023-01-10 12:00:00,Hangar,Quality,Plastic,High,4,Night,Routine,Clear
230,2023-01-10 13:00:00,Assembly Line,Quality,Metal Scrap,Low,1,Morning,Random,Clear
231,2023-01-10 14:00:00,Taxiway,Maintenance,Metal Scrap,Medium,3,Evening,Routine,Dusty
232,2023-01-10 15:00:00,Runway,Quality,Plastic,Low,5,Night,Audit,Clear
233,2023-01-10 16:00:00,Assembly Line,Quality,Tools,Medium,1,Evening,Audit,Humid
234,2023-01-10 17:00:00,Assembly Line,Production,Tools,Low,3,Night,Random,Clear
235,2023-01-10 18:00:00,Runway,Logistics,Glass,Low,7,Morning,Random,Rainy
236,2023-01-10 19:00:00,Taxiway,Maintenance,Tools,Low,1,Night,Routine,Clear
237,2023-01-10 20:00:00,Runway,Logistics,Metal Scrap,Low,5,Evening,Audit,Dusty
238,2023-01-10 21:00:00,Assembly Line,Quality,Plastic,Medium,4,Night,Random,Clear
239,2023-01-10 22:00:00,Warehouse,Production,Rubber,Low,2,Morning,Routine,Clear
240,2023-01-10 23:00:00,Warehouse,Logistics,Tools,Low,5,Morning,Audit,Dusty
241,2023-01-11 00:00:00,Hangar,Logistics,Plastic,Low,4,Night,Routine,Clear
242,2023-01-11 01:00:00,Runway,Logistics,Tools,Low,4,Morning,Routine,Dusty
243,2023-01-11 02:00:00,Runway,Logistics,Tools,Low,5,Morning,Random,Clear
244,2023-01-11 03:00:00,Hangar,Logistics,Metal Scrap,Medium,2,Morning,Audit,Clear
245,2023-01-11 04:00:00,Hangar,Production,Metal Scrap,Low,6,Evening,Random,Dusty
246,2023-01-11 05:00:00,Hangar,Quality,Tools,Medium,1,Morning,Routine,Clear
247,2023-01-11 06:00:00,Assembly Line,Production,Tools,Medium,1,Morning,Random,Clear
248,2023-01-11 07:00:00,Runway,Production,Rubber,Low,2,Morning,Routine,Dusty
249,2023-01-11 08:00:00,Assembly Line,Production,Metal Scrap,Medium,3,Evening,Routine,Clear
250,2023-01-11 09:00:00,Hangar,Production,Metal Scrap,Medium,1,Morning,Audit,Clear
251,2023-01-11 10:00:00,Runway,Quality,Metal Scrap,Low,1,Morning,Random,Clear
252,2023-01-11 11:00:00,Assembly Line,Quality,Plastic,Medium,2,Evening,Random,Clear
253,2023-01-11 12:00:00,Assembly Line,Production,Tools,Low,2,Morning,Routine,Humid
254,2023-01-11 13:00:00,Hangar,Logistics,Plastic,Low,7,Morning,Routine,Dusty
255,2023-01-11 14:00:00,Runway,Quality,Metal Scrap,Medium,1,Evening,Random,Dusty
256,2023-01-11 15:00:00,Hangar,Quality,Tools,Medium,1,Evening,Random,Clear
257,2023-01-11 16:00:00,Runway,Production,Plastic,Low,2,Morning,Routine,Clear
258,2023-01-11 17:00:00,Warehouse,Logistics,Plastic,Low,1,Evening,Audit,Clear
259,2023-01-11 18:00:00,Taxiway,Logistics,Tools,High,2,Morning,Random,Dusty
260,2023-01-11 19:00:00,Taxiway,Production,Metal Scrap,Low,1,Night,Routine,Rainy
261,2023-01-11 20:00:00,Taxiway,Production,Rubber,Low,6,Morning,Routine,Humid
262,2023-01-11 21:00:00,Hangar,Quality,Tools,Low,1,Evening,Random,Clear
263,2023-01-11 22:00:00,Warehouse,Quality,Rubber,Low,2,Morning,Routine,Clear
264,2023-01-11 23:00:00,Runway,Maintenance,Tools,High,2,Morning,Random,Rainy
265,2023-01-12 00:00:00,Assembly Line,Maintenance,Metal Scrap,Low,1,Night,Random,Dusty
266,2023-01-12 01:00:00,Runway,Production,Metal Scrap,Low,1,Evening,Random,Clear
267,2023-01-12 02:00:00,Assembly Line,Maintenance,Tools,Low,5,Morning,Routine,Clear
268,2023-01-12 03:00:00,Runway,Logistics,Plastic,Low,6,Evening,Routine,Humid
269,2023-01-12 04:00:00,Warehouse,Logistics,Plastic,High,1,Morning,Routine,Humid
270,2023-01-12 05:00:00,Assembly Line,Logistics,Metal Scrap,Low,1,Evening,Audit,Clear
271,2023-01-12 06:00:00,Hangar,Quality,Metal Scrap,Low,2,Night,Random,Clear
272,2023-01-12 07:00:00,Runway,Maintenance,Metal Scrap,Low,8,Evening,Routine,Clear
273,2023-01-12 08:00:00,Runway,Maintenance,Rubber,Medium,7,Evening,Audit,Clear
274,2023-01-12 09:00:00,Assembly Line,Production,Metal Scrap,Low,4,Night,Audit,Clear
275,2023-01-12 10:00:00,Hangar,Quality,Metal Scrap,Medium,2,Morning,Random,Dusty
276,2023-01-12 11:00:00,Hangar,Quality,Tools,Low,6,Evening,Routine,Clear
277,2023-01-12 12:00:00,Warehouse,Quality,Tools,Low,3,Morning,Random,Dusty
278,2023-01-12 13:00:00,Hangar,Logistics,Rubber,Low,1,Morning,Routine,Clear
279,2023-01-12 14:00:00,Hangar,Quality,Metal Scrap,Low,2,Evening,Random,Clear
280,2023-01-12 15:00:00,Hangar,Maintenance,Metal Scrap,Low,6,Morning,Random,Clear
281,2023-01-12 16:00:00,Taxiway,Production,Metal Scrap,High,7,Morning,Random,Clear
282,2023-01-12 17:00:00,Warehouse,Maintenance,Tools,Low,5,Morning,Audit,Dusty
283,2023-01-12 18:00:00,Runway,Quality,Tools,Low,2,Night,Routine,Clear
284,2023-01-12 19:00:00,Assembly Line,Production,Tools,Medium,5,Morning,Routine,Clear
285,2023-01-12 20:00:00,Runway,Logistics,Rubber,Low,1,Morning,Routine,Rainy
286,2023-01-12 21:00:00,Warehouse,Production,Rubber,High,4,Evening,Routine,Clear
287,2023-01-12 22:00:00,Assembly Line,Quality,Rubber,Low,7,Evening,Routine,Rainy
288,2023-01-12 23:00:00,Warehouse,Quality,Plastic,High,1,Night,Routine,Dusty
289,2023-01-13 00:00:00,Hangar,Production,Metal Scrap,Low,1,Evening,Audit,Dusty
290,2023-01-13 01:00:00,Assembly Line,Quality,Metal Scrap,High,5,Night,Audit,Clear
